Node_ID,Crisp_Class,Fuzzy_C1,Fuzzy_C2
0,1,0.0,1.0
1,1,0.0,1.0
2,1,0.0,1.0
3,0,1.0,0.0
4,1,0.16,0.84
5,0,1.0,0.0
6,0,1.0,0.0
7,1,0.0,1.0
8,1,0.0,1.0
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,1,0.0,1.0
13,1,0.0,1.0
14,1,0.0,1.0
15,1,0.0,1.0
16,0,1.0,0.0
17,1,0.0,1.0
18,0,1.0,0.0
19,1,0.0,1.0
20,1,0.08,0.92
21,1,0.0,1.0
22,1,0.0,1.0
23,1,0.0,1.0
24,1,0.0,1.0
25,1,0.0,1.0
26,1,0.0,1.0
27,1,0.3,0.7
28,0,1.0,0.0
29,1,0.0,1.0
30,1,0.4917411,0.5082589
31,1,0.0,1.0
32,0,0.51519614,0.4848039
33,1,0.0,1.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,1,0.13333334,0.8666667
38,1,0.1,0.9
39,1,0.0,1.0
40,1,0.0,1.0
41,1,0.0,1.0
42,1,0.0,1.0
43,1,0.0,1.0
44,1,0.0,1.0
45,1,0.06666667,0.93333334
46,0,1.0,0.0
47,1,0.0,1.0
48,1,0.0,1.0
49,1,0.0,1.0
50,1,0.0,1.0
51,1,0.0,1.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,0.4737249,0.5262751
55,1,0.3,0.7
56,1,0.0,1.0
57,1,0.4,0.6
58,0,1.0,0.0
59,0,1.0,0.0
60,0,0.73333335,0.26666668
61,0,0.76,0.24
62,0,1.0,0.0
63,1,0.0,1.0
64,0,1.0,0.0
65,0,1.0,0.0
66,1,0.0,1.0
67,1,0.0,1.0
68,0,0.8666667,0.13333334
69,1,0.22857143,0.7714286
70,1,0.0,1.0
71,0,0.8666667,0.13333334
72,0,1.0,0.0
73,0,1.0,0.0
74,0,1.0,0.0
75,1,0.0,1.0
76,1,0.26666668,0.73333335
77,1,0.4,0.6
78,1,0.0,1.0
79,0,0.46743664,0.5325633
80,0,1.0,0.0
81,0,1.0,0.0
82,1,0.0,1.0
83,0,1.0,0.0
84,1,0.0,1.0
85,0,0.8666667,0.13333334
86,1,0.1,0.9
87,1,0.13333334,0.8666667
88,0,0.7222222,0.2777778
89,1,0.0,1.0
90,0,1.0,0.0
91,1,0.0,1.0
92,1,0.0,1.0
93,1,0.0,1.0
94,0,0.7090909,0.29090908
95,0,0.9809524,0.01904762
96,1,0.0,1.0
97,1,0.0,1.0
98,0,1.0,0.0
